Time_s,Sensor0_Raw,Sensor1_Raw,DutyCycle,is_from_callback,Sensor1_Hist_0,Sensor1_Hist_1,Sensor1_Hist_2,Sensor1_Hist_3,Sensor1_Hist_4,Sensor1_Hist_5,Sensor1_Hist_6,Sensor1_Hist_7,Sensor1_Hist_8,Sensor1_Hist_9,DutyCycle_Hist_0,DutyCycle_Hist_1,DutyCycle_Hist_2,DutyCycle_Hist_3,DutyCycle_Hist_4,DutyCycle_Hist_5,DutyCycle_Hist_6,DutyCycle_Hist_7,DutyCycle_Hist_8,DutyCycle_Hist_9
1737354666.869,1.1290,1.0290,0.00,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0290,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1737354669.353,1.1000,1.0274,239.00,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0290,1.0274,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.00
1737354670.154,1.0709,1.0258,207.00,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0290,1.0274,1.0258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.00,207.00
1737354670.349,1.0709,1.0258,199.00,False,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0290,1.0274,1.0258,1.0258,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.00,207.00,199.00
1737354670.451,1.0709,1.0258,195.00,False,0.0000,0.0000,0.0000,0.0000,0.0000,1.0290,1.0274,1.0258,1.0258,1.0258,0.00,0.00,0.00,0.00,0.00,0.00,239.00,207.00,199.00,195.00
1737354670.963,1.0709,1.0258,100.00,False,0.0000,0.0000,0.0000,0.0000,1.0290,1.0274,1.0258,1.0258,1.0258,1.0258,0.00,0.00,0.00,0.00,0.00,239.00,207.00,199.00,195.00,100.00
1737354670.965,1.0709,1.0258,100.00,False,0.0000,0.0000,0.0000,1.0290,1.0274,1.0258,1.0258,1.0258,1.0258,1.0258,0.00,0.00,0.00,0.00,239.00,207.00,199.00,195.00,100.00,100.00
1737354670.972,1.0774,1.0258,100.00,False,0.0000,0.0000,1.0290,1.0274,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,0.00,0.00,0.00,239.00,207.00,199.00,195.00,100.00,100.00,100.00
1737354670.977,1.0839,1.0258,100.00,False,0.0000,1.0290,1.0274,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,0.00,0.00,239.00,207.00,199.00,195.00,100.00,100.00,100.00,100.00
1737354670.985,1.0855,1.0258,100.00,False,1.0290,1.0274,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,1.0258,0.00,239.00,207.00,199.00,195.00,100.00,100.00,100.00,100.00,100.00
