Time_s,Sensor1_V,Sensor2_V,MeanFloor_V,DutyCycle_%
0.002,1.8194,1.8355,1.8274,100.00
0.013,1.8226,1.8355,1.8290,100.00
0.024,1.8226,1.8355,1.8290,100.00
0.035,1.8226,1.8355,1.8290,100.00
0.046,1.8194,1.8355,1.8274,100.00
0.057,1.8194,1.8323,1.8258,100.00
0.069,1.8161,1.8323,1.8242,100.00
0.080,1.8097,1.8290,1.8194,0.00
0.091,1.8032,1.8194,1.8113,0.00
0.102,1.7968,1.8161,1.8065,0.71
0.113,1.7935,1.8129,1.8032,1.35
0.124,1.7935,1.8129,1.8032,1.35
0.136,1.7935,1.8129,1.8032,1.35
0.147,1.7935,1.8161,1.8048,1.03
0.158,1.7968,1.8161,1.8065,0.71
0.169,1.8000,1.8194,1.8097,0.07
0.180,1.8065,1.8226,1.8145,0.00
0.191,1.8161,1.8323,1.8242,100.00
0.203,1.8226,1.8355,1.8290,100.00
0.214,1.8161,1.8323,1.8242,100.00
0.225,1.8129,1.8290,1.8210,100.00
0.236,1.8065,1.8258,1.8161,0.00
0.247,1.8000,1.8194,1.8097,0.07
0.258,1.7935,1.8161,1.8048,1.03
0.269,1.7871,1.8129,1.8000,2.00
0.281,1.7871,1.8097,1.7984,0.00
0.292,1.7903,1.8129,1.8016,1.68
0.303,1.7935,1.8161,1.8048,1.03
0.314,1.8000,1.8194,1.8097,0.07
0.325,1.8065,1.8226,1.8145,0.00
0.336,1.8161,1.8323,1.8242,100.00
0.347,1.8194,1.8355,1.8274,100.00
0.359,1.8161,1.8323,1.8242,100.00
0.370,1.8097,1.8290,1.8194,0.00
0.381,1.8032,1.8226,1.8129,0.00
0.392,1.7968,1.8161,1.8065,0.71
0.403,1.7935,1.8161,1.8048,1.03
0.414,1.7935,1.8129,1.8032,1.35
0.425,1.7935,1.8129,1.8032,1.35
0.437,1.7903,1.8129,1.8016,1.68
0.448,1.7903,1.8129,1.8016,1.68
0.459,1.7935,1.8129,1.8032,1.35
0.470,1.7935,1.8129,1.8032,1.35
0.481,1.7968,1.8161,1.8065,0.71
0.492,1.8000,1.8194,1.8097,0.07
0.503,1.8065,1.8226,1.8145,0.00
0.515,1.8129,1.8290,1.8210,100.00
0.526,1.8194,1.8355,1.8274,100.00
0.537,1.8161,1.8323,1.8242,100.00
0.548,1.8129,1.8290,1.8210,100.00
0.559,1.8032,1.8226,1.8129,0.00
0.570,1.7935,1.8161,1.8048,1.03
0.582,1.7903,1.8129,1.8016,1.68
0.595,1.7903,1.8097,1.8000,2.00
0.607,1.7935,1.8129,1.8032,1.35
0.619,1.7935,1.8161,1.8048,1.03
0.631,1.8000,1.8161,1.8081,0.39
0.643,1.8065,1.8226,1.8145,0.00
0.655,1.8129,1.8290,1.8210,100.00
0.667,1.8194,1.8355,1.8274,100.00
0.680,1.8194,1.8355,1.8274,100.00
0.692,1.8129,1.8290,1.8210,100.00
0.704,1.8065,1.8258,1.8161,0.00
0.717,1.7968,1.8161,1.8065,0.71
0.729,1.7903,1.8129,1.8016,1.68
0.741,1.7903,1.8129,1.8016,1.68
0.754,1.7935,1.8161,1.8048,1.03
0.766,1.7935,1.8161,1.8048,1.03
0.779,1.8000,1.8194,1.8097,0.07
0.791,1.8097,1.8290,1.8194,0.00
0.803,1.8161,1.8323,1.8242,100.00
0.816,1.8194,1.8323,1.8258,100.00
0.828,1.8161,1.8290,1.8226,100.00
0.840,1.8097,1.8258,1.8178,0.00
0.853,1.8032,1.8194,1.8113,0.00
0.865,1.7968,1.8129,1.8048,1.03
0.877,1.7935,1.8129,1.8032,1.35
0.890,1.7935,1.8161,1.8048,1.03
0.902,1.7968,1.8161,1.8065,0.71
0.914,1.8000,1.8161,1.8081,0.39
0.927,1.8065,1.8258,1.8161,0.00
0.939,1.8161,1.8323,1.8242,100.00
0.952,1.8226,1.8355,1.8290,100.00
0.964,1.8194,1.8323,1.8258,100.00
0.976,1.8129,1.8290,1.8210,100.00
0.989,1.8065,1.8258,1.8161,0.00
1.001,1.7968,1.8161,1.8065,0.71
1.013,1.7903,1.8097,1.8000,2.00
1.026,1.7903,1.8129,1.8016,1.68
1.038,1.7935,1.8161,1.8048,1.03
1.050,1.8000,1.8194,1.8097,0.07
1.063,1.8065,1.8258,1.8161,0.00
1.075,1.8129,1.8323,1.8226,100.00
1.087,1.8161,1.8355,1.8258,100.00
1.100,1.8129,1.8323,1.8226,100.00
1.112,1.8097,1.8258,1.8178,0.00
1.124,1.8000,1.8226,1.8113,0.00
1.137,1.7968,1.8161,1.8065,0.71
1.149,1.7935,1.8129,1.8032,1.35
1.161,1.7903,1.8129,1.8016,1.68
1.174,1.7903,1.8161,1.8032,1.35
1.186,1.7935,1.8097,1.8016,1.68
1.199,1.7935,1.8161,1.8048,1.03
1.211,1.7968,1.8161,1.8065,0.71
