Time_s,Sensor0_Raw,Sensor1_Raw,DutyCycle,Setpoint,HYST_LOW,HYST_HIGH,Predicted_Lower_Sensor,flying_magnets_field,is_from_callback
1737354708.526,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1356,-0.0001,False
1737354708.538,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1355,-0.0000,False
1737354708.549,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1355,-0.0000,False
1737354708.560,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1354,0.0001,False
1737354708.572,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1354,0.0001,False
1737354708.583,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1354,0.0001,False
1737354708.594,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1354,0.0001,False
1737354708.606,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1353,0.0002,False
1737354708.619,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1353,0.0002,False
1737354708.631,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.644,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.655,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.666,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.678,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.689,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.700,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.712,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.723,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.734,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.745,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.757,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.768,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.779,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.790,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.802,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.813,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.824,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.835,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.847,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.858,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.870,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.882,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.893,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.905,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.916,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.928,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.940,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.951,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.963,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.974,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.985,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354708.996,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.008,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.019,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.030,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.041,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.053,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.064,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.075,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.087,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.098,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.109,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.121,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.132,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.144,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.155,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.166,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.177,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.189,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.200,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
1737354709.211,1.1355,1.0323,0.00,1.1500,-0.2000,0.0000,1.1351,0.0004,False
