Duty Cycle (%),Sensor0 Corrected Voltage (V)
0,-0.0006123140306706354
1,-0.05158141451132958
2,-0.05351503776607913
3,-0.05544866102082824
4,-0.05802682536049408
5,-0.05867136644541082
6,-0.06318315403982577
7,-0.06640585946440813
8,-0.0741907072556649
9,-0.07354616617074838
10,-0.07676887159533075
11,-0.07741341268024704
12,-0.0806361181048294
13,-0.08256974135957873
14,-0.08579244678416087
15,-0.0877260700389102
16,-0.09030423437857626
17,-0.09223785763332559
18,-0.09417148088807492
19,-0.09610510414282425
20,-0.09803872739757358
21,-0.09932780956740661
22,-0.1044841382467383
23,-0.10577322041657111
24,-0.10770684367132066
25,-0.10964046692606977
26,-0.10835138475623696
27,-0.11415225452048494
28,-0.1173749599450673
29,-0.1193287251087205
30,-0.11998333714808873
31,-0.12193710231174171
32,-0.12387072556649104
33,-0.12515980773632385
34,-0.12902705424582273
35,-0.1290270542458225
36,-0.13160521858548835
37,-0.1341833829251542
38,-0.135472465094987
39,-0.13933971160448588
40,-0.14256241702906847
41,-0.14256241702906847
42,-0.1451405813687343
43,-0.14707420462348342
44,-0.1477187457083997
45,-0.15094145113298207
46,-0.15416415655756444
47,-0.15416415655756466
48,-0.15867594415197983
49,-0.15996502632181264
50,-0.16125410849164545
51,-0.1638322728313113
52,-0.16576589608606063
53,-0.1689986724650947
54,-0.17094236667429596
55,-0.1715969787136642
56,-0.1741952849622339
57,-0.17677344930189975
58,-0.17870707255664886
59,-0.18192977798123122
60,-0.18321886015106403
61,-0.18644156557564617
62,-0.18644156557564617
63,-0.19030881208514527
64,-0.1915978942549783
65,-0.1935315175097274
66,-0.19997692835889191
67,-0.1980433051041426
68,-0.1986878461890591
69,-0.20191055161364124
70,-0.2057777981231399
71,-0.20642233920805664
72,-0.20900050354772248
73,-0.21157866788738833
74,-0.21222320897230462
75,-0.21480137331197047
76,-0.21866861982146935
77,-0.21866861982146935
78,-0.2219013962005032
79,-0.2219013962005032
80,-0.22516438544289263
81,-0.22645346761272567
82,-0.2290316319523915
83,-0.2322543373769741
84,-0.23418796063172342
85,-0.23418796063172342
86,-0.23805520714122208
87,-0.241277912565804
88,-0.24192245365072074
89,-0.24321153582055377
90,-0.24578970016021962
91,-0.24965694666971827
92,-0.24965694666971827
93,-0.25352419317921693
94,-0.2561023575188828
95,-0.25868052185854884
96,-0.2593250629434649
97,-0.2625477683680475
98,-0.263192309452964
99,-0.26577047379262964
100,-0.33612616159304176
