glat	glng	gmap_color	gaddress	current_rent	current_assessment	assessment_to_rent_ratio	BaseValue_Year	lagov	screenshot
34.0367129	-118.3831347	#a7c5fe	2610 S Halm Ave, Los Angeles, CA 90034, USA	5460.0	839558.0	153.77	2009	https://portal.assessor.lacounty.gov/parceldetail/4301022003	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/2610_S_Halm_Ave,_Los_Angeles,_CA_90034,_USA.png
34.1913124	-118.6434262	#4b64d5	23714 Archwood St, Canoga Park, CA 91307, USA	12500.0	795600.0	63.65	2023	https://portal.assessor.lacounty.gov/parceldetail/2034011016	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/23714_Archwood_St,_Canoga_Park,_CA_91307,_USA.png
34.1772644	-118.5727494	#b5cdfa	5852 McDonie Ave, Woodland Hills, CA 91367, USA	12500.0	1159824.0	92.79	2007	https://portal.assessor.lacounty.gov/parceldetail/2151007007	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/5852_McDonie_Ave,_Woodland_Hills,_CA_91367,_USA.png
34.1547123	-118.6078173	#a1c0ff	22059 Ybarra Rd, Woodland Hills, CA 91364, USA	6500.0	645397.0	99.29	2010	https://portal.assessor.lacounty.gov/parceldetail/2170016014	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/22059_Ybarra_Rd,_Woodland_Hills,_CA_91364,_USA.png
34.1011829	-118.3692016	#5875e1	1663 N Crescent Heights Blvd, Los Angeles, CA 90069, USA	18650.0	2865260.0	153.63	2021	https://portal.assessor.lacounty.gov/parceldetail/5556031020	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/1663_N_Crescent_Heights_Blvd,_Los_Angeles,_CA_90069,_USA.png
34.0453075	-118.4859574	#a1c0ff	594 Moreno Ave, Los Angeles, CA 90049, USA	13750.0	3448513.0	250.8	2010	https://portal.assessor.lacounty.gov/parceldetail/4264003010	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/594_Moreno_Ave,_Los_Angeles,_CA_90049,_USA.png
34.158281	-118.4620074	#c83836	15102 La Maida St, Sherman Oaks, CA 91403, USA	2800.0	284947.0	101.77	1977	https://portal.assessor.lacounty.gov/parceldetail/2264010026	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/15102_La_Maida_St,_Sherman_Oaks,_CA_91403,_USA.png
34.1585465	-118.4918604	#80a3fa	16446 Moorpark St, Encino, CA 91436, USA	18500.0	886414.0	47.91	2015	https://portal.assessor.lacounty.gov/parceldetail/2260009002	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/16446_Moorpark_St,_Encino,_CA_91436,_USA.png
34.1655888	-118.5916818	#4b64d5	21016 Costanso St, Woodland Hills, CA 91364, USA	5300.0	897600.0	169.36	2023	https://portal.assessor.lacounty.gov/parceldetail/2167023004	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/21016_Costanso_St,_Woodland_Hills,_CA_91364,_USA.png
34.0321138	-118.4039532	#d3dbe7	3388 Patricia Ave, Los Angeles, CA 90064, USA	16500.0	1202096.0	72.85	2002	https://portal.assessor.lacounty.gov/parceldetail/4316024022	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/3388_Patricia_Ave,_Los_Angeles,_CA_90064,_USA.png
34.144712	-118.4719898	#4b64d5	15500 Del Gado Dr, Encino, CA 91403, USA	8800.0	1162800.0	132.14	2023	https://portal.assessor.lacounty.gov/parceldetail/2280002019	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/15500_Del_Gado_Dr,_Encino,_CA_91403,_USA.png
34.0161884	-118.3604622	#8db0fe	3866 Cloverdale Ave, Los Angeles, CA 90008, USA	5500.0	572239.0	104.04	2013	https://portal.assessor.lacounty.gov/parceldetail/5029005011	https://rycpt-crawls.s3.us-west-2.amazonaws.com/padmapper-data/2025-02-13/3866_Cloverdale_Ave,_Los_Angeles,_CA_90008,_USA.png
